code,term
10461000,Nonvenomous insect bite with infection
10662001,Nonvenomous insect bite of face with infection
110432000,Insect bite granuloma
111708002,Nonvenomous insect bite of interscapular region without infection
11773571000119109,Infected wound of right elbow due to non venomous insect bite
11773611000119100,Wound of right elbow region due to nonvenomous insect bite
11773651000119104,Infected wound of left elbow due to non venomous insect bite
11773691000119109,Wound of left elbow region due to nonvenomous insect bite
11773731000119102,Nonvenomous insect bite of right thumb with infection
11773811000119104,Nonvenomous insect bite of left thumb with infection
11779561000119100,Infected wound of right forearm due to non venomous insect bite
11779601000119100,Infected wound of left forearm due to non venomous insect bite
11779841000119102,Wound of right forearm due to nonvenomous insect bite
11779881000119107,Wound of left forearm due to nonvenomous insect bite
11783401000119109,Infected wound of right hip due to nonvenomous insect bite
11783441000119106,Infected wound of left hip due to nonvenomous insect bite
11783681000119103,Nonvenomous insect bite of finger of right hand with infection
11783721000119109,Nonvenomous insect bite of right index finger with infection
11783761000119104,Nonvenomous insect bite of right little finger with infection
11783801000119107,Nonvenomous insect bite of right middle finger with infection
11783841000119109,Nonvenomous insect bite of right ring finger with infection
11783961000119101,Infected wound of right thigh due to nonvenomous insect bite
11784001000119100,Infected wound of left thigh due to nonvenomous insect bite
11784041000119103,Infected wound of right wrist due to non venomous insect bite
11784081000119108,Infected wound of left wrist due to non venomous insect bite
11785921000119107,Wound of right wrist due to nonvenomous insect bite
11785961000119102,Wound of left wrist due to nonvenomous insect bite
11786001000119105,Nonvenomous insect bite of right hand
11786041000119107,Nonvenomous insect bite of left hand
11789161000119101,Nonvenomous insect bite of finger of left hand
11789201000119106,Nonvenomous insect bite of left index finger
11789321000119108,Nonvenomous insect bite of middle finger of left hand
11789361000119103,Nonvenomous insect bite of finger of left hand with infection
11789401000119107,Nonvenomous insect bite of left index finger with infection
11789441000119109,Nonvenomous insect bite of left little finger with infection
11789481000119104,Nonvenomous insect bite of left middle finger with infection
11789521000119104,Nonvenomous insect bite of left ring finger with infection
11789561000119109,Nonvenomous insect bite of finger of right hand
11789601000119109,Nonvenomous insect bite of right index finger
11789681000119101,Nonvenomous insect bite of middle finger of right hand
11793541000119106,Infected nonvenomous insect bite of right ankle
11793581000119101,Infected nonvenomous insect bite of left ankle
11793621000119101,Nonvenomous insect bite of lesser toe of right foot
11793661000119106,Nonvenomous insect bite of lesser toe of left foot
11793701000119104,Wound of right foot due to nonvenomous insect bite
11793741000119102,Wound of left foot due to nonvenomous insect bite
11808981000119103,Wound of right hip region due to nonvenomous insect bite
11809021000119109,Wound of left hip region due to nonvenomous insect bite
11809061000119104,Wound of right thigh due to nonvenomous insect bite
11809101000119101,Wound of left thigh due to nonvenomous insect bite
11809141000119104,Nonvenomous insect bite of male genitalia with infection
11809181000119109,Nonvenomous insect bite of sacrum
11809221000119101,Infected wound of low back due to nonvenomous insect bite
11809301000119103,Nonvenomous insect bite of pelvis with infection
11809341000119101,Wound of lower back due to nonvenomous insect bite
11809381000119106,Nonvenomous insect bite of pelvis
11809661000119109,Infected wound of right knee due to nonvenomous insect bite
11809701000119102,Infected wound of left knee due to nonvenomous insect bite
11809741000119100,Wound of right lower leg due to nonvenomous insect bite
11809781000119105,Wound of left lower leg due to nonvenomous insect bite
11809821000119100,Wound of right knee region due to nonvenomous insect bite
11809861000119105,Wound of left knee region due to nonvenomous insect bite
11810261000119103,Nonvenomous insect bite of female genitalia with infection
11813101000119100,Nonvenomous insect bite of female genitalia
11822601000119105,Nonvenomous insect bite of right axilla with infection
11822641000119107,Nonvenomous insect bite of left axilla with infection
11822681000119102,Wound of right axilla due to nonvenomous insect bite
11822721000119108,Wound of left axilla due to nonvenomous insect bite
11823241000119101,Nonvenomous insect bite of right shoulder with infection
11823281000119106,Nonvenomous insect bite of left shoulder with infection
11823321000119101,Infected wound of right upper arm due to non venomous insect bite
11823361000119106,Infected wound of left upper arm due to non venomous insect bite
11823721000119102,Wound of right upper arm due to nonvenomous insect bite
11823761000119107,Wound of left upper arm due to nonvenomous insect bite
11823801000119104,Wound of right shoulder due to nonvenomous insect bite
11823841000119102,Wound of left shoulder due to nonvenomous insect bite
11837001000119102,Infected wound of right lower leg due to nonvenomous insect bite
11837041000119100,Infected wound of left lower leg due to nonvenomous insect bite
11843471000119109,Nonvenomous insect bite of right ear with infection
11843511000119100,Nonvenomous insect bite of left ear with infection
11843551000119104,Wound of right ear due to nonvenomous insect bite
11843591000119109,Wound of left ear due to nonvenomous insect bite
11847691000119103,Nonvenomous insect bite of tongue with infection
11847731000119105,Nonvenomous insect bite of tongue
11847821000119101,Nonvenomous insect bite of cheek
11847901000119100,Nonvenomous insect bite of mouth
11848301000119100,Infected wound of right eyelid due to nonvenomous insect bite
11848341000119103,Wound of right eyelid due to nonvenomous insect bite
11848381000119108,Infected wound of left eyelid due to nonvenomous insect bite
11848421000119104,Wound of left eyelid due to nonvenomous insect bite
11849141000119108,Nonvenomous insect bite of right breast with infection
11849181000119103,Nonvenomous insect bite of left breast with infection
11849221000119106,Wound of right breast due to nonvenomous insect bite
11849261000119101,Wound of left breast due to nonvenomous insect bite
11849301000119109,Nonvenomous insect bite of right half of chest wall with infection
11849341000119106,Nonvenomous insect bite of left half of chest wall with infection
11849381000119101,Wound of right half of chest wall due to nonvenomous insect bite
11849421000119105,Wound of left half of chest wall due to nonvenomous insect bite
11849821000119107,Nonvenomous insect bite of forehead
11849861000119102,Wound of head due to nonvenomous insect bite
11851361000119106,Nonvenomous insect bite of right half of posterior thorax with infection
11851401000119102,Nonvenomous insect bite of right half of posterior chest wall
11851441000119100,Nonvenomous insect bite of left half of posterior thorax with infection
11851481000119105,Nonvenomous insect bite of left half of posterior chest wall
11852981000119108,Nonvenomous insect bite of chin with infection
11853021000119103,Nonvenomous insect bite of chin
11862361000119107,Nonvenomous insect bite of right great toe with infection
11862401000119103,Nonvenomous insect bite of left great toe with infection
11862441000119101,Nonvenomous insect bite of lesser toe of right foot with infection
11862481000119106,Nonvenomous insect bite of lesser toe of left foot with infection
11862521000119106,Infected wound of right foot due to nonvenomous insect bite
11862561000119101,Infected wound of left foot due to nonvenomous insect bite
11862601000119101,Wound of right ankle due to nonvenomous insect bite
11862641000119104,Wound of left ankle due to nonvenomous insect bite
1255440004,Nonvenomous insect bite of index finger
1255441000,Nonvenomous insect bite of lesser toe
