code,term
10629791000119104,Cellulitis of left axilla
10629831000119105,Cellulitis of right axilla
10629871000119108,Cellulitis of left hip
10629911000119106,Cellulitis of right hip
10632951000119102,Cellulitis of left thigh
10632991000119107,Cellulitis of right thigh
10633031000119101,Cellulitis of left ankle
10633071000119103,Cellulitis of right ankle
10633191000119101,Cellulitis of left foot
10633231000119105,Cellulitis of right foot
10633271000119108,Cellulitis of left knee
10633311000119108,Cellulitis of right knee
10633351000119109,Cellulitis of left lower limb
10633391000119104,Cellulitis of right lower limb
10633431000119109,Cellulitis of left wrist
10633471000119107,Cellulitis of right wrist
10633511000119103,Cellulitis of left shoulder
10633551000119102,Cellulitis of right shoulder
10633591000119107,Cellulitis of left thumb
10633631000119107,Cellulitis of right thumb
10633791000119100,Cellulitis of left hand
10633831000119106,Cellulitis of left forearm
10633871000119109,Cellulitis of right forearm
10633911000119107,Cellulitis of right upper limb
10633951000119108,Cellulitis of left upper limb
10751991000119105,Postpartum cellulitis of breast
109245003,Cellulitis of periorbital region
109247006,Cellulitis of infratemporal fossa
109612009,Dentoalveolar cellulitis
109784009,Cellulitis of masticator space of mouth
111186009,Cellulitis of other specified site
1197179009,Acute cellulitis
123951002,Cellulitis of skin
12713001,Cellulitis of skin with lymphangitis
128045006,Cellulitis
128276007,Cellulitis of foot
128277003,Cellulitis of head
1297277004,Cellulitis of index finger
1297278009,Cellulitis of middle finger
1297281004,Cellulitis of ring finger
1297283001,Cellulitis of little finger
1297306005,Cellulitis of great toe
1297307001,Cellulitis of second toe
1297308006,Cellulitis of third toe
1297309003,Cellulitis of toe of left foot
1297310008,Cellulitis of toe of right foot
1297311007,Cellulitis of fourth toe
1297312000,Cellulitis of little toe
13000001000004102,Cellulitis of right hand
13301002,Cellulitis of knee
1332473009,Necrotizing cellulitis
1332475002,Necrotizing cellulitis
13680009,Cellulitis of forearm
1372801007,Cellulitis of clavicular region
1372802000,Cellulitis of calf of leg
1372805003,Cellulitis of skin of anterior surface of knee
156304001,(Cellulitis &/or abscess finger/toe) or (felon - whitlow)
156305000,(Cellulitis - finger-paronychia) or (paronychia)
156306004,Toe: [cellulitis] or [paronychia]
