code,term
10455003,Removal of ectopic cervical pregnancy by evacuation
16836261000119107,Ectopic pregnancy of left ovary
16836351000119100,Ectopic pregnancy of right ovary
16836391000119105,Pregnancy of left fallopian tube
16836431000119100,Ruptured tubal pregnancy of right fallopian tube
16836571000119103,Ruptured tubal pregnancy of left fallopian tube
16836891000119104,Pregnancy of right fallopian tube
17285009,Intraperitoneal pregnancy
17433009,Ruptured ectopic pregnancy
176928008,Excision of ectopic ovarian pregnancy
176929000,Excision of ruptured ectopic tubal pregnancy
198617006,Delivery of viable fetus in abdominal pregnancy
198620003,Ruptured tubal pregnancy
198626009,Mesenteric pregnancy
198627000,Angular pregnancy
237253003,Viable fetus in abdominal pregnancy
237254009,Unruptured tubal pregnancy
271415006,Removal of products of conception from fallopian tube
276881003,Secondary abdominal pregnancy
34801009,Ectopic pregnancy
35656003,Intraligamentous pregnancy
387615001,Removal of ectopic pregnancy from fallopian tube
387616000,Fimbrial extraction of tubal pregnancy
387617009,Aspiration of ectopic pregnancy from fallopian tube
387708002,Excision of ectopic abdominal fetus
387709005,Removal of ectopic fetus from abdominal cavity
387710000,Removal of extrauterine ectopic fetus
442478007,Multiple pregnancy involving intrauterine pregnancy and tubal pregnancy
445912000,Excision of fallopian tube and surgical removal of ectopic pregnancy
450562009,Laparoscopic excision of ruptured ectopic tubal pregnancy
450563004,Laparoscopic excision of ectopic ovarian pregnancy
49964003,Ectopic fetus
60000008,Mesometric pregnancy
61893009,Laparoscopic treatment of ectopic pregnancy with oophorectomy
63596003,Laparoscopic treatment of ectopic pregnancy with salpingectomy
69532007,Mural pregnancy
699240001,Combined intrauterine and ovarian pregnancy
700073007,Aspiration of ectopic pregnancy from cornu of fallopian tube
73341009,Removal of ectopic fetus from ovary without oophorectomy
786067000,Intramural ectopic pregnancy of myometrium
79290002,Cervical pregnancy
79586000,Tubal pregnancy
81130000,Removal of intraligamentous ectopic pregnancy
82661006,Abdominal pregnancy
82688001,Removal of product of conception of ectopic pregnancy
87605005,Cornual pregnancy
88144003,Removal of ectopic interstitial uterine pregnancy requiring total hysterectomy
88362001,Removal of ectopic fetus from fallopian tube without salpingectomy
9899009,Ovarian pregnancy
