code,term
10058006,Miscarriage with amniotic fluid embolism
10697004,Miscarriage complicated by renal failure
10812041000119103,Urinary tract infection due to incomplete miscarriage
11026009,Miscarriage with renal tubular necrosis
11109001,Miscarriage with uremia
12394009,Miscarriage with cerebral anoxia
1269247005,Infection of female genital tract due to incomplete miscarriage
1269249008,Infection of pelvis due to incomplete miscarriage
1269255003,Damage to organ of pelvis due to incomplete miscarriage
1269256002,Damage to tissue of pelvis due to incomplete miscarriage
127009,Miscarriage with laceration of cervix
13384007,Miscarriage complicated by metabolic disorder
14136000,Miscarriage with perforation of broad ligament
1469007,Miscarriage with urinary tract infection
156072005,Incomplete miscarriage
156073000,Complete miscarriage
15809008,Miscarriage with perforation of uterus
16038004,Abortion due to Leptospira
16111000119105,Incomplete spontaneous abortion due to hemorrhage
16607004,Missed abortion
16714009,Miscarriage with laceration of bowel
16836811000119108,Miscarriage of left tubal ectopic pregnancy
16836851000119109,Miscarriage of right tubal ectopic pregnancy
17369002,Miscarriage
184339009,Miscarriage at 8 to 28 weeks
18489003,Surgical treatment of missed abortion of first trimester
18613002,Miscarriage with septic shock
19169002,Miscarriage in first trimester
198644001,Incomplete miscarriage with genital tract or pelvic infection
198645000,Incomplete miscarriage with delayed or excessive hemorrhage
198646004,Incomplete miscarriage with damage to pelvic organs or tissues
198647008,Renal failure due to and following incomplete miscarriage
198648003,Metabolic disorder due to incomplete miscarriage
198649006,Shock due to incomplete miscarriage
198650006,Embolism due to incomplete miscarriage
198655001,Complete miscarriage with genital tract or pelvic infection
198656000,Complete miscarriage with delayed or excessive hemorrhage
198657009,Complete miscarriage with damage to pelvic organs or tissues
198659007,Complete miscarriage with renal failure
198660002,Complete miscarriage with metabolic disorder
198661003,Complete miscarriage with shock
198663000,Complete miscarriage with embolism
198861000,"Readmission for retained products of conception, spontaneous abortion"
198901003,Macerated fetus
199070009,Papyraceous fetus - not delivered
199306007,Continuing pregnancy after abortion of one fetus or more
199307003,Continuing pregnancy after intrauterine death of one or more fetuses
21360006,Miscarriage with afibrinogenemia
237245006,Vanishing twin syndrome
237247003,Continuing pregnancy after abortion of sibling fetus
23793007,Miscarriage without complication
275421004,Miscarriage with heavy bleeding
275425008,Retained products after miscarriage
2781009,Miscarriage complicated by delayed and/or excessive hemorrhage
307733001,Inevitable abortion complete
307734007,Complete inevitable abortion complicated by genital tract and pelvic infection
307735008,Complete inevitable abortion complicated by delayed or excessive hemorrhage
307737000,Inevitable abortion incomplete
307746006,Incomplete inevitable abortion complicated by embolism
307749004,Incomplete inevitable abortion complicated by genital tract and pelvic infection
307750004,Complete inevitable abortion complicated by embolism
307752007,Incomplete inevitable abortion complicated by delayed or excessive hemorrhage
30806007,Miscarriage with endometritis
34270000,Miscarriage complicated by shock
34614007,Miscarriage with complication
35381000119101,Quadruplet pregnancy with loss of one or more fetuses
363681007,Pregnancy with abortive outcome
36801000119105,Continuing triplet pregnancy after spontaneous abortion of one or more fetuses
373896005,Miscarriage complicated by genital-pelvic infection
38651009,Fetal mummification
39199000,Miscarriage with laceration of urinary bladder
40444006,Miscarriage with acute necrosis of liver
413338003,Incomplete miscarriage with complication
428508008,Abortion due to Brucella abortus
428511009,Multiple pregnancy with one fetal loss
429187001,Continuing pregnancy after intrauterine death of twin fetus
43306002,Miscarriage complicated by embolism
445548006,Dead fetus in utero
44814008,Miscarriage with laceration of periurethral tissue
472321009,Continuing pregnancy after intrauterine death of one twin with intrauterine retention of dead twin
47537002,Miscarriage with postoperative shock
48485000,Miscarriage in third trimester
48739004,Miscarriage with cardiac arrest and/or cardiac failure
50770000,Miscarriage with defibrination syndrome
5191001,Surgical treatment of missed abortion of second trimester
51954003,Miscarriage with perforation of periurethral tissue
53183006,Miscarriage with intravascular hemolysis
53898005,Lithopedion
55976003,Miscarriage with blood-clot embolism
57420002,Listeria abortion
57469000,Miscarriage with acute renal failure
58990004,Miscarriage complicated by damage to pelvic organs and/or tissues
59204004,Miscarriage with septic embolism
59291004,Undelivered in utero fetal death
59363009,Inevitable abortion
60265009,Miscarriage with air embolism
609525000,Miscarriage of tubal ectopic pregnancy
61568004,Miscarriage with salpingo-oophoritis
64814003,Miscarriage with electrolyte imbalance
66131005,Miscarriage with fat embolism
67465009,Miscarriage with sepsis
697954007,Miscarriage care
7000009,Fetal demise from miscarriage
72613009,Miscarriage with oliguria
737318003,Delayed hemorrhage due to and following miscarriage
737331008,Disorder of vein following miscarriage
74369005,Miscarriage with perforation of cervix
749781000000109,Incomplete termination of pregnancy
7809009,Miscarriage with laceration of uterus
7910003,Miscarriage with salpingitis
8071005,Miscarriage with perforation of bowel
82153002,Miscarriage with pulmonary embolism
83922009,Miscarriage with parametritis
85116003,Miscarriage in second trimester
85331004,Miscarriage with laceration of broad ligament
85467007,Miscarriage with perforation of urinary bladder
85632001,Miscarriage with laceration of vagina
85991008,Miscarriage with pelvic peritonitis
87967003,Miscarriage with perforation of vagina
90127001,Fetus papyraceous
