practice,stp,region,interval_start,population,appointments_scheduled,appointments_seen
615,E54000003,North East,2022-02-01,1,0,0
164,E54000085,West Midlands,2022-02-01,1,0,0
202,E54000048,Missing,2022-02-01,1,0,0
895,E54000090,South West,2022-02-01,1,0,0
325,E54000042,North West,2022-02-01,1,0,0
976,E54000081,East Midlands,2022-02-01,1,0,0
773,E54000060,Missing,2022-02-01,1,0,0
696,E54000018,South East,2022-02-01,1,0,0
27,E54000006,North West,2022-02-01,1,0,0
665,E54000078,South East,2022-02-01,1,0,0
773,E54000060,Missing,2022-03-01,1,0,0
976,E54000081,East Midlands,2022-03-01,1,0,0
164,E54000085,West Midlands,2022-03-01,1,0,0
895,E54000090,South West,2022-03-01,1,0,0
202,E54000048,Missing,2022-03-01,1,0,0
696,E54000018,South East,2022-03-01,1,0,0
325,E54000042,North West,2022-03-01,1,0,0
27,E54000006,North West,2022-03-01,1,0,0
785,E54000090,London,2022-03-01,1,0,0
454,E54000015,Missing,2022-03-01,1,0,0
696,E54000018,South East,2022-04-01,1,0,0
773,E54000060,Missing,2022-04-01,1,0,0
976,E54000081,East Midlands,2022-04-01,1,0,0
164,E54000085,West Midlands,2022-04-01,1,0,0
895,E54000090,South West,2022-04-01,1,0,0
202,E54000048,Missing,2022-04-01,1,0,0
785,E54000090,London,2022-04-01,1,0,0
325,E54000042,North West,2022-04-01,1,0,0
27,E54000006,North West,2022-04-01,1,0,0
166,E54000034,North East,2022-04-01,1,1,0
468,E54000094,Yorkshire and The Humber,2022-05-01,1,0,0
895,E54000090,South West,2022-05-01,1,0,0
325,E54000042,North West,2022-05-01,1,0,0
976,E54000081,East Midlands,2022-05-01,1,0,0
773,E54000060,Missing,2022-05-01,1,0,0
696,E54000018,South East,2022-05-01,1,0,0
27,E54000006,North West,2022-05-01,1,0,0
454,E54000015,Missing,2022-05-01,1,0,0
160,E54000046,North West,2022-05-01,1,0,0
166,E54000034,North East,2022-05-01,1,0,0
468,E54000094,Yorkshire and The Humber,2022-06-01,1,0,0
895,E54000090,South West,2022-06-01,1,0,0
325,E54000042,North West,2022-06-01,1,0,0
976,E54000081,East Midlands,2022-06-01,1,0,0
773,E54000060,Missing,2022-06-01,1,0,0
696,E54000018,South East,2022-06-01,1,0,0
27,E54000006,North West,2022-06-01,1,0,0
454,E54000015,Missing,2022-06-01,1,0,0
160,E54000046,North West,2022-06-01,1,0,0
166,E54000034,North East,2022-06-01,1,0,0
773,E54000060,Missing,2022-07-01,1,0,0
976,E54000081,East Midlands,2022-07-01,1,0,0
325,E54000042,North West,2022-07-01,1,0,0
665,E54000078,South East,2022-07-01,1,0,0
202,E54000048,Missing,2022-07-01,1,0,0
164,E54000085,West Midlands,2022-07-01,1,0,0
138,E54000098,Missing,2022-07-01,1,0,0
895,E54000090,South West,2022-07-01,1,0,0
696,E54000018,South East,2022-07-01,1,0,0
304,E54000003,Missing,2022-07-01,1,0,0
696,E54000018,South East,2022-08-01,1,0,0
164,E54000085,West Midlands,2022-08-01,1,0,0
202,E54000048,Missing,2022-08-01,1,0,0
895,E54000090,South West,2022-08-01,1,0,0
325,E54000042,North West,2022-08-01,1,0,0
976,E54000081,East Midlands,2022-08-01,1,0,0
773,E54000060,Missing,2022-08-01,1,0,0
27,E54000006,North West,2022-08-01,1,0,0
785,E54000090,London,2022-08-01,1,0,0
454,E54000015,Missing,2022-08-01,1,0,0
773,E54000060,Missing,2022-09-01,1,0,0
976,E54000081,East Midlands,2022-09-01,1,0,0
325,E54000042,North West,2022-09-01,1,0,0
665,E54000078,South East,2022-09-01,1,0,0
202,E54000048,Missing,2022-09-01,1,0,0
164,E54000085,West Midlands,2022-09-01,1,0,0
138,E54000098,Missing,2022-09-01,1,0,0
895,E54000090,South West,2022-09-01,1,0,0
696,E54000018,South East,2022-09-01,1,0,0
304,E54000003,Missing,2022-09-01,1,0,0
773,E54000060,Missing,2022-10-01,1,0,0
976,E54000081,East Midlands,2022-10-01,1,0,0
325,E54000042,North West,2022-10-01,1,0,0
665,E54000078,South East,2022-10-01,1,0,0
202,E54000048,Missing,2022-10-01,1,0,0
164,E54000085,West Midlands,2022-10-01,1,0,0
138,E54000098,Missing,2022-10-01,1,0,0
895,E54000090,South West,2022-10-01,1,0,0
696,E54000018,South East,2022-10-01,1,0,0
304,E54000003,Missing,2022-10-01,1,0,0
468,E54000094,Yorkshire and The Humber,2022-11-01,1,0,0
895,E54000090,South West,2022-11-01,1,0,0
325,E54000042,North West,2022-11-01,1,0,0
976,E54000081,East Midlands,2022-11-01,1,0,0
773,E54000060,Missing,2022-11-01,1,0,0
696,E54000018,South East,2022-11-01,1,0,0
27,E54000006,North West,2022-11-01,1,0,0
454,E54000015,Missing,2022-11-01,1,0,0
160,E54000046,North West,2022-11-01,1,0,0
166,E54000034,North East,2022-11-01,1,0,0
468,E54000094,Yorkshire and The Humber,2022-12-01,1,0,0
895,E54000090,South West,2022-12-01,1,0,0
325,E54000042,North West,2022-12-01,1,0,0
976,E54000081,East Midlands,2022-12-01,1,0,0
773,E54000060,Missing,2022-12-01,1,0,0
696,E54000018,South East,2022-12-01,1,0,0
27,E54000006,North West,2022-12-01,1,0,0
454,E54000015,Missing,2022-12-01,1,0,0
160,E54000046,North West,2022-12-01,1,0,0
166,E54000034,North East,2022-12-01,1,0,0
773,E54000060,Missing,2023-01-01,1,0,0
976,E54000081,East Midlands,2023-01-01,1,0,0
325,E54000042,North West,2023-01-01,1,0,0
665,E54000078,South East,2023-01-01,1,0,0
202,E54000048,Missing,2023-01-01,1,0,0
164,E54000085,West Midlands,2023-01-01,1,0,0
138,E54000098,Missing,2023-01-01,1,0,0
895,E54000090,South West,2023-01-01,1,0,0
696,E54000018,South East,2023-01-01,1,0,0
304,E54000003,Missing,2023-01-01,1,0,0
696,E54000018,South East,2023-02-01,1,0,0
164,E54000085,West Midlands,2023-02-01,1,0,0
202,E54000048,Missing,2023-02-01,1,0,0
895,E54000090,South West,2023-02-01,1,0,0
325,E54000042,North West,2023-02-01,1,0,0
976,E54000081,East Midlands,2023-02-01,1,0,0
773,E54000060,Missing,2023-02-01,1,0,0
27,E54000006,North West,2023-02-01,1,0,0
785,E54000090,London,2023-02-01,1,0,0
454,E54000015,Missing,2023-02-01,1,0,0
773,E54000060,Missing,2023-03-01,1,0,0
976,E54000081,East Midlands,2023-03-01,1,0,0
325,E54000042,North West,2023-03-01,1,0,0
665,E54000078,South East,2023-03-01,1,0,0
202,E54000048,Missing,2023-03-01,1,0,0
164,E54000085,West Midlands,2023-03-01,1,0,0
895,E54000090,South West,2023-03-01,1,0,0
696,E54000018,South East,2023-03-01,1,0,0
138,E54000098,Missing,2023-03-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-03-01,1,0,0
773,E54000060,Missing,2023-04-01,1,0,0
976,E54000081,East Midlands,2023-04-01,1,0,0
325,E54000042,North West,2023-04-01,1,0,0
665,E54000078,South East,2023-04-01,1,0,0
202,E54000048,Missing,2023-04-01,1,0,0
164,E54000085,West Midlands,2023-04-01,1,0,0
696,E54000018,South East,2023-04-01,1,0,0
895,E54000090,South West,2023-04-01,1,0,0
27,E54000006,North West,2023-04-01,1,0,0
72,E54000048,London,2023-04-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-05-01,1,0,0
895,E54000090,South West,2023-05-01,1,0,0
325,E54000042,North West,2023-05-01,1,0,0
976,E54000081,East Midlands,2023-05-01,1,0,0
773,E54000060,Missing,2023-05-01,1,0,0
696,E54000018,South East,2023-05-01,1,0,0
27,E54000006,North West,2023-05-01,1,0,0
454,E54000015,Missing,2023-05-01,1,0,0
160,E54000046,North West,2023-05-01,1,0,0
166,E54000034,North East,2023-05-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-06-01,1,0,0
895,E54000090,South West,2023-06-01,1,0,0
325,E54000042,North West,2023-06-01,1,0,0
976,E54000081,East Midlands,2023-06-01,1,0,0
773,E54000060,Missing,2023-06-01,1,0,0
696,E54000018,South East,2023-06-01,1,0,0
27,E54000006,North West,2023-06-01,1,0,0
454,E54000015,Missing,2023-06-01,1,0,0
160,E54000046,North West,2023-06-01,1,0,0
166,E54000034,North East,2023-06-01,1,0,0
773,E54000060,Missing,2023-07-01,1,0,0
976,E54000081,East Midlands,2023-07-01,1,0,0
325,E54000042,North West,2023-07-01,1,0,0
665,E54000078,South East,2023-07-01,1,0,0
202,E54000048,Missing,2023-07-01,1,0,0
164,E54000085,West Midlands,2023-07-01,1,0,0
138,E54000098,Missing,2023-07-01,1,0,0
895,E54000090,South West,2023-07-01,1,0,0
696,E54000018,South East,2023-07-01,1,0,0
304,E54000003,Missing,2023-07-01,1,0,0
696,E54000018,South East,2023-08-01,1,0,0
164,E54000085,West Midlands,2023-08-01,1,0,0
202,E54000048,Missing,2023-08-01,1,0,0
895,E54000090,South West,2023-08-01,1,0,0
325,E54000042,North West,2023-08-01,1,0,0
976,E54000081,East Midlands,2023-08-01,1,0,0
773,E54000060,Missing,2023-08-01,1,0,0
27,E54000006,North West,2023-08-01,1,0,0
785,E54000090,London,2023-08-01,1,0,0
454,E54000015,Missing,2023-08-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-09-01,1,0,0
895,E54000090,South West,2023-09-01,1,0,0
325,E54000042,North West,2023-09-01,1,0,0
976,E54000081,East Midlands,2023-09-01,1,0,0
773,E54000060,Missing,2023-09-01,1,0,0
696,E54000018,South East,2023-09-01,1,0,0
27,E54000006,North West,2023-09-01,1,0,0
454,E54000015,Missing,2023-09-01,1,0,0
160,E54000046,North West,2023-09-01,1,0,0
166,E54000034,North East,2023-09-01,1,0,0
27,E54000006,North West,2023-10-01,1,0,0
696,E54000018,South East,2023-10-01,1,0,0
773,E54000060,Missing,2023-10-01,1,0,0
202,E54000048,Missing,2023-10-01,1,0,0
325,E54000042,North West,2023-10-01,1,0,0
895,E54000090,South West,2023-10-01,1,0,0
74,E54000039,North East,2023-10-01,1,0,0
976,E54000081,East Midlands,2023-10-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-10-01,1,0,0
72,E54000048,London,2023-10-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-11-01,1,0,0
895,E54000090,South West,2023-11-01,1,0,0
325,E54000042,North West,2023-11-01,1,0,0
976,E54000081,East Midlands,2023-11-01,1,0,0
773,E54000060,Missing,2023-11-01,1,0,0
696,E54000018,South East,2023-11-01,1,0,0
27,E54000006,North West,2023-11-01,1,0,0
454,E54000015,Missing,2023-11-01,1,0,0
160,E54000046,North West,2023-11-01,1,0,0
166,E54000034,North East,2023-11-01,1,0,0
468,E54000094,Yorkshire and The Humber,2023-12-01,1,0,0
895,E54000090,South West,2023-12-01,1,0,0
325,E54000042,North West,2023-12-01,1,0,0
976,E54000081,East Midlands,2023-12-01,1,0,0
773,E54000060,Missing,2023-12-01,1,0,0
696,E54000018,South East,2023-12-01,1,0,0
27,E54000006,North West,2023-12-01,1,0,0
454,E54000015,Missing,2023-12-01,1,0,0
160,E54000046,North West,2023-12-01,1,0,0
166,E54000034,North East,2023-12-01,1,0,0
773,E54000060,Missing,2024-01-01,1,0,0
976,E54000081,East Midlands,2024-01-01,1,0,0
325,E54000042,North West,2024-01-01,1,0,0
665,E54000078,South East,2024-01-01,1,0,0
202,E54000048,Missing,2024-01-01,1,0,0
164,E54000085,West Midlands,2024-01-01,1,0,0
138,E54000098,Missing,2024-01-01,1,0,0
895,E54000090,South West,2024-01-01,1,0,0
696,E54000018,South East,2024-01-01,1,0,0
304,E54000003,Missing,2024-01-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-02-01,1,0,0
895,E54000090,South West,2024-02-01,1,0,0
325,E54000042,North West,2024-02-01,1,0,0
976,E54000081,East Midlands,2024-02-01,1,0,0
773,E54000060,Missing,2024-02-01,1,0,0
696,E54000018,South East,2024-02-01,1,0,0
27,E54000006,North West,2024-02-01,1,0,0
454,E54000015,Missing,2024-02-01,1,0,0
160,E54000046,North West,2024-02-01,1,0,0
166,E54000034,North East,2024-02-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-03-01,1,0,0
895,E54000090,South West,2024-03-01,1,0,0
325,E54000042,North West,2024-03-01,1,0,0
976,E54000081,East Midlands,2024-03-01,1,0,0
773,E54000060,Missing,2024-03-01,1,0,0
696,E54000018,South East,2024-03-01,1,0,0
27,E54000006,North West,2024-03-01,1,0,0
454,E54000015,Missing,2024-03-01,1,0,0
160,E54000046,North West,2024-03-01,1,0,0
166,E54000034,North East,2024-03-01,1,0,0
976,E54000081,East Midlands,2024-04-01,1,0,0
325,E54000042,North West,2024-04-01,1,0,0
895,E54000090,South West,2024-04-01,1,0,0
305,E54000089,North West,2024-04-01,1,0,0
164,E54000085,West Midlands,2024-04-01,1,0,0
665,E54000078,South East,2024-04-01,1,0,1
670,E54000036,East Midlands,2024-04-01,1,0,0
202,E54000048,Missing,2024-04-01,1,0,0
773,E54000060,Missing,2024-04-01,1,0,0
454,E54000015,Missing,2024-04-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-05-01,1,0,0
895,E54000090,South West,2024-05-01,1,0,0
325,E54000042,North West,2024-05-01,1,0,0
976,E54000081,East Midlands,2024-05-01,1,0,0
773,E54000060,Missing,2024-05-01,1,0,0
696,E54000018,South East,2024-05-01,1,0,0
27,E54000006,North West,2024-05-01,1,0,0
454,E54000015,Missing,2024-05-01,1,0,0
160,E54000046,North West,2024-05-01,1,0,0
166,E54000034,North East,2024-05-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-06-01,1,0,0
895,E54000090,South West,2024-06-01,1,0,0
325,E54000042,North West,2024-06-01,1,0,0
976,E54000081,East Midlands,2024-06-01,1,0,0
773,E54000060,Missing,2024-06-01,1,0,0
696,E54000018,South East,2024-06-01,1,0,0
27,E54000006,North West,2024-06-01,1,0,0
454,E54000015,Missing,2024-06-01,1,0,0
160,E54000046,North West,2024-06-01,1,0,0
166,E54000034,North East,2024-06-01,1,0,0
976,E54000081,East Midlands,2024-07-01,1,0,0
325,E54000042,North West,2024-07-01,1,0,0
895,E54000090,South West,2024-07-01,1,0,0
305,E54000089,North West,2024-07-01,1,0,0
164,E54000085,West Midlands,2024-07-01,1,0,0
665,E54000078,South East,2024-07-01,1,0,1
670,E54000036,East Midlands,2024-07-01,1,0,0
202,E54000048,Missing,2024-07-01,1,0,0
773,E54000060,Missing,2024-07-01,1,0,0
454,E54000015,Missing,2024-07-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-08-01,1,0,0
895,E54000090,South West,2024-08-01,1,0,0
325,E54000042,North West,2024-08-01,1,0,0
976,E54000081,East Midlands,2024-08-01,1,0,0
773,E54000060,Missing,2024-08-01,1,0,0
696,E54000018,South East,2024-08-01,1,0,0
27,E54000006,North West,2024-08-01,1,0,0
454,E54000015,Missing,2024-08-01,1,0,0
160,E54000046,North West,2024-08-01,1,0,0
166,E54000034,North East,2024-08-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-09-01,1,0,0
895,E54000090,South West,2024-09-01,1,0,0
325,E54000042,North West,2024-09-01,1,0,0
976,E54000081,East Midlands,2024-09-01,1,0,0
773,E54000060,Missing,2024-09-01,1,0,0
696,E54000018,South East,2024-09-01,1,0,0
27,E54000006,North West,2024-09-01,1,0,0
454,E54000015,Missing,2024-09-01,1,0,0
160,E54000046,North West,2024-09-01,1,0,0
166,E54000034,North East,2024-09-01,1,0,0
976,E54000081,East Midlands,2024-10-01,1,0,0
325,E54000042,North West,2024-10-01,1,0,0
895,E54000090,South West,2024-10-01,1,0,0
305,E54000089,North West,2024-10-01,1,0,0
164,E54000085,West Midlands,2024-10-01,1,0,0
665,E54000078,South East,2024-10-01,1,0,0
670,E54000036,East Midlands,2024-10-01,1,0,0
202,E54000048,Missing,2024-10-01,1,0,0
773,E54000060,Missing,2024-10-01,1,0,0
454,E54000015,Missing,2024-10-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-11-01,1,0,0
895,E54000090,South West,2024-11-01,1,0,0
325,E54000042,North West,2024-11-01,1,0,0
976,E54000081,East Midlands,2024-11-01,1,0,0
773,E54000060,Missing,2024-11-01,1,0,0
696,E54000018,South East,2024-11-01,1,0,0
27,E54000006,North West,2024-11-01,1,0,0
454,E54000015,Missing,2024-11-01,1,0,0
160,E54000046,North West,2024-11-01,1,0,0
166,E54000034,North East,2024-11-01,1,0,0
468,E54000094,Yorkshire and The Humber,2024-12-01,1,0,0
895,E54000090,South West,2024-12-01,1,0,0
325,E54000042,North West,2024-12-01,1,0,0
976,E54000081,East Midlands,2024-12-01,1,0,0
773,E54000060,Missing,2024-12-01,1,0,0
696,E54000018,South East,2024-12-01,1,0,0
27,E54000006,North West,2024-12-01,1,0,0
454,E54000015,Missing,2024-12-01,1,0,0
160,E54000046,North West,2024-12-01,1,0,0
166,E54000034,North East,2024-12-01,1,0,0
773,E54000060,Missing,2025-01-01,1,0,0
976,E54000081,East Midlands,2025-01-01,1,0,0
325,E54000042,North West,2025-01-01,1,0,0
665,E54000078,South East,2025-01-01,1,0,1
202,E54000048,Missing,2025-01-01,1,0,0
164,E54000085,West Midlands,2025-01-01,1,0,0
138,E54000098,Missing,2025-01-01,1,0,0
895,E54000090,South West,2025-01-01,1,0,0
696,E54000018,South East,2025-01-01,1,0,0
304,E54000003,Missing,2025-01-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-02-01,1,0,0
895,E54000090,South West,2025-02-01,1,0,0
325,E54000042,North West,2025-02-01,1,0,0
976,E54000081,East Midlands,2025-02-01,1,0,0
773,E54000060,Missing,2025-02-01,1,0,0
696,E54000018,South East,2025-02-01,1,0,0
27,E54000006,North West,2025-02-01,1,0,0
454,E54000015,Missing,2025-02-01,1,0,0
160,E54000046,North West,2025-02-01,1,0,0
166,E54000034,North East,2025-02-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-03-01,1,0,0
895,E54000090,South West,2025-03-01,1,0,0
325,E54000042,North West,2025-03-01,1,0,0
976,E54000081,East Midlands,2025-03-01,1,0,0
773,E54000060,Missing,2025-03-01,1,0,0
696,E54000018,South East,2025-03-01,1,0,0
27,E54000006,North West,2025-03-01,1,0,0
454,E54000015,Missing,2025-03-01,1,0,0
160,E54000046,North West,2025-03-01,1,0,0
166,E54000034,North East,2025-03-01,1,0,0
976,E54000081,East Midlands,2025-04-01,1,0,0
325,E54000042,North West,2025-04-01,1,0,0
895,E54000090,South West,2025-04-01,1,0,0
305,E54000089,North West,2025-04-01,1,0,0
164,E54000085,West Midlands,2025-04-01,1,0,0
665,E54000078,South East,2025-04-01,1,0,0
670,E54000036,East Midlands,2025-04-01,1,0,0
202,E54000048,Missing,2025-04-01,1,0,0
773,E54000060,Missing,2025-04-01,1,0,0
